,,exret_mkt,FF_SMB,FF_HML,FF_RMW,FF_CMA,RF,FF_MOM,PR1,PR2,PR3,PR4,PR5,PR6,PR7,PR8,PR9,PR10,PR11,PR12,PR13,PR14,PR15,PR16,PR17,PR18,PR19,PR20,PR21,PR22,PR23,PR24,PR25,PRgrowth,PRvalue,Prsmall,Prlarge
15/07/1963,196307,-0.39,-0.47,-0.83,0.64,-1.15,0.27,1,1.1234,-0.1481,0.5563,0.1097,-1.3212,-1.8721,0.2945,-0.8445,-1.9644,-1.1889,-2.3295,-1.3042,-0.7967,-2.2305,-1.7984,-0.8456,-1.7052,-2.0042,-1.6657,-1.8567,0.1401,0.4524,1.2557,-0.429,-1.1026,-0.68,-3.33,   -0.23,    0.33
15/08/1963,196308,5.07,-0.78,1.67,0.34,-0.4,0.25,1.03,4.2429,1.4831,1.3214,2.3701,4.6745,5.3983,4.6462,4.3639,4.4188,8.2329,5.2577,5.0255,5.4633,4.8264,5.1541,5.3965,4.7614,6.2068,7.5619,5.3469,5.771,4.223,4.7487,8.1419,6.3824,5.95,7.62,    2.54,    5.23
15/09/1963,196309,-1.57,-0.48,0.18,-0.75,0.24,0.27,0.16,-2.8922,0.7027,-1.0869,-1.5812,-0.3581,-3.9164,-1.5713,-0.6417,-1.1812,-2.9149,-4.4644,-1.5314,-0.4876,-0.3268,-1.8203,-2.6893,-2.0139,-1.8941,-3.5823,-1.9943,-1.3721,-0.772,-0.9852,-0.1905,-3.4963,-1.05,-2.82,   -0.19,   -0.91
15/10/1963,196310,2.53,-1.29,-0.1,2.74,-2.24,0.29,3.14,1.2861,-0.6491,1.2443,0.1,2.3724,1.1882,4.3011,2.3438,2.2012,3.9335,2.359,0.588,2.7346,2.0481,1.068,-0.4287,0.9057,2.3459,5.3382,0.6113,5.3261,1.7383,-0.2829,2.415,0.4857,3.58,0.62,    0.70,    3.54
15/11/1963,196311,-0.85,-0.84,1.71,-0.44,2.22,0.27,-0.75,-3.3793,-4.0355,-1.5969,-1.0548,-1.0454,-4.1822,-1.7644,-0.7064,-0.1002,-0.1132,-3.0302,-1.524,-0.941,-0.7518,-1.2116,-0.8648,-0.8828,-0.4882,1.1451,3.5388,-1.2561,0.9849,-1.5542,-2.1322,1.3455,0.01,0.83,   -2.00,   -0.55
15/12/1963,196312,1.83,-1.89,-0.12,0.08,-0.3,0.29,1.7,-2.3593,-1.1798,-0.9018,-1.6367,-1.052,-0.6814,-0.9143,1.1527,0.8901,0.1212,0.3589,1.4736,1.2737,1.7197,0.4665,-0.1318,1.1983,1.7274,3.1393,6.1498,2.6237,2.2981,2.2921,2.5149,2.1308,2.58,3.53,   -2.31,    2.57
15/01/1964,196401,2.24,0.08,1.59,0.21,1.5,0.3,1.06,3.9767,3.0833,4.1068,4.1398,4.9545,-1.8043,-0.6418,3.6688,1.4763,4.2346,0.1105,1.0158,2.495,3.9771,3.2152,-0.2988,1.7765,1.1774,3.6204,3.3373,3.0934,3.1881,1.7441,2.0144,1.6235,3.33,2.85,    4.77,    3.19
15/02/1964,196402,1.54,0.32,2.83,0.07,0.85,0.26,0.24,2.9555,2.873,2.2555,0.2821,4.5557,1.616,1.7313,2.5109,2.1229,6.1003,0.1019,2.8322,1.774,3.7564,4.0122,2.522,1.4409,3.0066,7.4544,4.6097,1.8224,0.5124,1.0418,3.983,3.751,2.24,6.01,    2.71,    1.47
15/03/1964,196403,1.41,1.42,3.32,-2.03,2.93,0.31,0.72,0.4966,1.3121,2.3753,3.5429,2.6887,2.322,3.244,3.472,5.6796,6.1528,-0.5576,2.5722,4.4163,5.7097,6.7543,1.9864,2.9255,5.2494,6.9476,0.7218,1.1585,0.7364,3.6898,3.8351,0.1494,1.11,2.25,    2.31,    1.26
15/04/1964,196404,0.1,-1.51,-0.55,-1.37,-1.08,0.29,-0.6,-1.5521,2.6366,-0.4091,-0.878,-0.9517,-0.7625,-4.0694,0.6079,-1.6136,-0.6557,-2.0882,-1.0485,0.2559,-0.749,-1.0221,-2.6728,0.6352,1.6896,-2.0612,-2.2799,0.2273,1.4744,0.8217,-0.9047,2.4177,-1.6,-0.05,    0.05,    0.91
15/05/1964,196405,1.42,-0.68,1.98,-0.26,0.24,0.26,2.54,-1.252,-1.3431,0.4715,0.3367,1.5856,3.1248,0.3595,2.9579,1.8542,3.7386,-0.6274,1.5308,-0.2996,2.1331,2.4988,1.1101,2.416,1.3073,2.6065,4.101,2.0659,0.3111,1.2718,4.2802,3.3864,2.16,4.18,    0.77,    1.76
15/06/1964,196406,1.27,0.08,0.68,-0.39,0.14,0.3,0.45,1.9421,0.5264,1.2774,0.7808,1.0969,0.8807,1.6791,1.5988,1.1354,2.2101,1.0255,2.4139,2.068,2.4619,1.2404,0.9431,1.2939,1.1684,2.8764,3.1078,0.9729,2.8991,0.2828,1.3636,2.4156,0.6,3.22,    1.25,    1.61
15/07/1964,196407,1.74,0.53,0.68,0.14,1.84,0.3,-0.37,0.8464,3.883,4.2554,2.6285,4.8118,1.0572,1.6074,4.0006,3.1051,2.4158,2.8108,2.7962,3.0269,3.2799,1.2401,1.1094,3.3974,1.5688,1.7746,3.1177,2.5914,0.6598,3.9497,1.9029,0.8222,2.18,2.21,    3.76,    1.69
15/08/1964,196408,-1.44,0.3,0.09,0.06,0.36,0.28,-0.19,1.2711,-1.907,-1.749,-0.896,-0.4938,-1.7902,-2.7708,-1.0857,0.3228,-1.8459,-2.7834,-0.5807,0.567,-0.1977,-2.0228,-1.0435,0.1881,1.0186,-0.0191,-0.2374,-1.2629,-1.5768,-0.0707,-1.0389,-2.7371,-1.33,-3.32,   -0.43,   -1.30
15/09/1964,196409,2.69,-0.31,1.65,-0.48,0.58,0.28,-0.39,4.6885,4.0315,6.0219,2.7272,3.9919,3.5364,2.8847,2.2849,1.9974,4.753,1.7612,2.0247,3.2296,3.2253,3.7708,2.9487,3.3454,4.2984,4.849,4.7579,3.0996,1.1876,4.439,4.4254,6.9184,3.38,5.96,    5.09,    2.75
15/10/1964,196410,0.59,0.88,1.14,-0.29,0.48,0.29,0.08,1.7043,0.374,2.1704,2.2325,3.3723,-1.4831,1.8614,2.0591,1.3112,1.3547,3.2059,3.3977,1.7484,1.3673,2.7154,1.1622,1.2132,1.2688,3.1881,3.4816,0.3437,1.0165,0.3508,0.4145,3.6739,-0.41,3.94,    2.68,    0.60
15/11/1964,196411,0,-0.27,-1.98,0.6,-0.16,0.29,1.08,-0.1603,-0.4088,0.6954,0.7246,0.6234,-0.699,-0.0232,-0.0826,-0.5965,-1.8008,1.6113,0.6715,-0.0197,0.4266,0.164,0.5949,1.5067,-0.6105,-0.8331,-4.0612,1.0391,-0.2816,1.4876,-1.2429,-4.8657,0.54,-3.43,    0.10,    0.33
15/12/1964,196412,0.03,-0.58,-2.55,1.13,-1.63,0.31,-0.69,-1.5129,-1.3967,-2.546,-2.5918,-1.8116,1.4318,0.4568,0.5316,-2.2114,-1.0025,0.115,0.7396,-0.3939,-1.8123,-0.9072,1.0635,0.0535,-1.6199,-0.9551,-1.4361,0.8399,1.3076,-0.9272,-1.2009,-1.2581,1.42,-2.49,   -1.71,    0.71
15/01/1965,196501,3.54,2.49,0.18,0.84,0.11,0.28,-1.28,8.5641,5.8323,6.5993,7.245,8.8036,7.648,5.5808,5.7697,5.9866,6.1864,5.2046,6.3029,5.1145,6.0584,6.966,6.6065,4.1326,5.2312,5.1165,7.4877,4.71,1.2279,3.1004,3.622,3.5078,5.84,6.51,    8.44,    3.12
15/02/1965,196502,0.44,3.31,0.22,0.4,-0.69,0.3,0.3,1.5794,1.0678,2.7161,3.0096,3.4986,3.4382,4.4841,3.252,3.4893,3.8161,3.8964,4.7537,4.7885,2.894,3.4394,1.5041,3.5059,3.9892,3.1987,1.7863,0.1697,-0.1595,0.0796,-0.4272,-1.0988,0.5,2.71,    3.22,   -0.43
15/03/1965,196503,-1.34,2.03,1.09,-0.3,0.73,0.36,0.1,1.4044,2.717,1.4618,2.489,3.1547,2.0241,-1.4149,1.2362,1.3014,0.6605,-0.29,-0.24,-0.2978,1.4463,0.6379,-0.6703,-0.3546,-0.4817,0.4395,2.0934,-1.3119,-1.6834,-1.6367,-0.6142,0.2936,-1.07,1.59,    2.30,   -1.55
15/04/1965,196504,3.11,1.18,0.71,0.26,-2.3,0.31,2.54,3.3757,4.8607,5.2017,4.0676,4.6019,0.0003,4.8277,4.2246,4.7033,5.142,2.8021,3.0068,4.3179,3.5262,6.7989,2.5424,2.9329,4.6715,4.3912,2.6447,4.5926,1.8495,2.1106,2.1037,4.333,5.3,2.35,    5.14,    3.36
15/05/1965,196505,-0.77,0.06,-1.63,-0.37,0.7,0.31,0.54,-0.597,-2.3215,-1.1429,-0.4232,-1.2693,1.2679,-0.8293,-1.1878,-0.3296,-2.1589,-0.4077,0.5983,-1.482,-0.8103,-0.58,-1.055,-0.0272,-0.9491,-0.3614,-3.3105,-0.726,0.9427,-0.2344,-0.5163,-3.5541,-0.81,-2.64,   -0.13,   -0.27
15/06/1965,196506,-5.51,-4.3,0.55,0.12,0.41,0.35,-3.12,-12.4001,-10.7627,-9.4745,-8.0205,-9.5674,-10.3844,-8.3678,-8.9351,-8.3303,-8.2892,-6.9572,-9.3673,-8.4419,-8.7327,-8.3849,-6.1574,-6.9212,-8.1461,-8.6617,-8.9668,-4.4268,-3.5824,-4.9769,-3.633,-5.4288,-5.17,-7.44,   -9.74,   -3.96
15/07/1965,196507,1.43,1.07,2.18,-1.44,-0.02,0.31,4.1,2.4449,3.7103,3.2169,2.29,4.3431,3.7099,1.3543,2.8801,3.7322,4.29,1.3893,4.5165,2.5087,4.5198,4.6479,2.6464,3.1032,4.1814,2.6199,5.7876,1.5245,-0.0437,1.8876,3.8748,5.0599,1.96,6.56,    2.64,    1.11
15/08/1965,196508,2.73,2.72,-0.96,2.06,-0.76,0.33,2.58,2.9082,5.4828,5.3181,3.8041,3.9318,7.3129,3.9586,5.1523,4.4534,4.0995,8.1482,5.0451,7.6512,3.7178,5.9122,4.0819,4.0195,5.3362,3.0665,4.341,3.2621,1.3557,3.4901,1.1232,2.3953,3.62,4.18,    4.10,    2.48
